FIPS,County,State,Vacancy Rate,No Vehicle,Rent Burden (40% Income)
27001,Aitkin County,Minnesota,0.5367053038285915,0.020097956426279345,0.2658102766798419
27003,Anoka County,Minnesota,0.030958960188312352,0.01566472436717356,0.28211771985459044
27005,Becker County,Minnesota,0.29452721036195156,0.026983437752000496,0.25413793103448273
27007,Beltrami County,Minnesota,0.17493067631714998,0.02323373638453083,0.34187577860829327
27009,Benton County,Minnesota,0.049139334729006744,0.01736062758204521,0.2312033497178227
27011,Big Stone County,Minnesota,0.2418387741505663,0.019766397124887692,0.1983739837398374
27013,Blue Earth County,Minnesota,0.08013816925734024,0.03082030709641721,0.3264934802385525
27015,Brown County,Minnesota,0.08260240143063953,0.009346522314822027,0.2055485498108449
27017,Carlton County,Minnesota,0.13054329045882127,0.010833755701976686,0.2531554273350162
27019,Carver County,Minnesota,0.04023609192515384,0.012410075090581296,0.23798730734360835
27021,Cass County,Minnesota,0.48352652789895717,0.02086038961038961,0.1822684497275879
27023,Chippewa County,Minnesota,0.07174490699734277,0.017036654620547237,0.26863832409118915
27025,Chisago County,Minnesota,0.07239512855209743,0.005742752369750225,0.3584102200141945
27027,Clay County,Minnesota,0.0641308824079967,0.020132351570509834,0.33007364481468066
27029,Clearwater County,Minnesota,0.28092149407291434,0.03969594594594594,0.22653721682847897
27031,Cook County,Minnesota,0.5780141843971631,0.04064748201438849,0.1015625
27033,Cottonwood County,Minnesota,0.09678668215253582,0.011968085106382979,0.20656370656370657
27035,Crow Wing County,Minnesota,0.3350637434807804,0.017456441393875397,0.23544932484867298
27037,Dakota County,Minnesota,0.029156165053347227,0.01721767509990106,0.2911495673671199
27039,Dodge County,Minnesota,0.06445359825539132,0.014620145304511615,0.23898781630740393
27041,Douglas County,Minnesota,0.21303142329020333,0.010593330898084851,0.2541360294117647
27043,Faribault County,Minnesota,0.13648180242634314,0.018990136905638156,0.24316109422492402
27045,Fillmore County,Minnesota,0.12481797378822551,0.02956886684471576,0.17482061317677755
27047,Freeborn County,Minnesota,0.09159063582997383,0.02373602250120052,0.2832664965366387
27049,Goodhue County,Minnesota,0.058472783227543755,0.0160551422687345,0.2921589688506982
27051,Grant County,Minnesota,0.21055939660590822,0.012504341785342132,0.2704761904761905
27053,Hennepin County,Minnesota,0.04857029662664879,0.04100850105354937,0.28206083563614537
27055,Houston County,Minnesota,0.0695752009184845,0.01269521410579345,0.18073089700996678
27057,Hubbard County,Minnesota,0.41283029147371286,0.015379719983029274,0.16520566419420094
27059,Isanti County,Minnesota,0.06605616605616606,0.007895520905750323,0.30973084886128366
27061,Itasca County,Minnesota,0.29033515198752924,0.020592504973385665,0.3249534450651769
27063,Jackson County,Minnesota,0.11331846746401784,0.017099056603773585,0.2616707616707617
27065,Kanabec County,Minnesota,0.1629802095459837,0.02747104767034743,0.1693227091633466
27067,Kandiyohi County,Minnesota,0.1505996888643549,0.01930201710652701,0.2847512784751278
27069,Kittson County,Minnesota,0.2804141501294219,0.016264169541646133,0.1447811447811448
27071,Koochiching County,Minnesota,0.2407829467757072,0.012509064539521393,0.3851224105461394
27073,Lac qui Parle County,Minnesota,0.18525953541726412,0.010893944248638257,0.15789473684210525
27075,Lake County,Minnesota,0.31949141079399435,0.014875340456735806,0.2958715596330275
27077,Lake of the Woods County,Minnesota,0.5890451083772701,0.019253208868144692,0.14903846153846154
27079,Le Sueur County,Minnesota,0.12147335423197492,0.010652642934196332,0.24881291547958215
27081,Lincoln County,Minnesota,0.20482713633398564,0.006275378368401624,0.19957537154989385
27083,Lyon County,Minnesota,0.1157299335607829,0.014337788578371811,0.25199616735867136
27085,McLeod County,Minnesota,0.0734799974640208,0.01342138900724329,0.25832846288720046
27087,Mahnomen County,Minnesota,0.2784663051897754,0.02460276781137878,0.24310344827586206
27089,Marshall County,Minnesota,0.17196596506941333,0.014140009272137228,0.19006849315068494
27091,Martin County,Minnesota,0.1079922425232214,0.020986250387677038,0.19385026737967914
27093,Meeker County,Minnesota,0.15346113891774482,0.012951541850220264,0.25167173252279634
27095,Mille Lacs County,Minnesota,0.18543202132664263,0.0327140549273021,0.2786290322580645
27097,Morrison County,Minnesota,0.1574817859144405,0.02855570502629326,0.1781305114638448
27099,Mower County,Minnesota,0.07677736340496064,0.030031612223393046,0.30254857431238963
27101,Murray County,Minnesota,0.2187145128321599,0.009507130347760821,0.14408233276157806
27103,Nicollet County,Minnesota,0.046788441383440633,0.026490832321129042,0.3222291407222914
27105,Nobles County,Minnesota,0.09667458432304038,0.03394406943105111,0.2077342588001983
27107,Norman County,Minnesota,0.17846153846153845,0.01985440105890139,0.2570281124497992
27109,Olmsted County,Minnesota,0.05269408401143611,0.023759070945745978,0.2765590470543847
27111,Otter Tail County,Minnesota,0.318835015357613,0.026282942833707783,0.22794707297514033
27113,Pennington County,Minnesota,0.09575592810753662,0.021361631753031973,0.18105670103092783
27115,Pine County,Minnesota,0.3545793176846213,0.014208444336804715,0.24069077172153264
27117,Pipestone County,Minnesota,0.09013566337088987,0.02304038004750594,0.20262869660460023
27119,Polk County,Minnesota,0.15616681455190773,0.02623478382538128,0.31454495463293924
27121,Pope County,Minnesota,0.2333490048581727,0.008145918186647777,0.3282937365010799
27123,Ramsey County,Minnesota,0.050770198742514705,0.04137258340274429,0.31567028985507245
27125,Red Lake County,Minnesota,0.1217437533227007,0.01899736147757256,0.23905723905723905
27127,Redwood County,Minnesota,0.13788261724234765,0.01787941787941788,0.2806236080178174
27129,Renville County,Minnesota,0.161516452074392,0.012683770539060248,0.27182866556836904
27131,Rice County,Minnesota,0.07428800641797031,0.01887516572465285,0.2981001727115717
27133,Rock County,Minnesota,0.07195266272189349,0.010783316378433367,0.21550741163055873
27135,Roseau County,Minnesota,0.20777050550062665,0.00989970040380357,0.2631578947368421
27137,St. Louis County,Minnesota,0.1743935752275601,0.025128418714424547,0.32020197804949296
27139,Scott County,Minnesota,0.02477674826152613,0.012093406127809993,0.2933682174951655
27141,Sherburne County,Minnesota,0.046941478121213825,0.014467457916375766,0.26140845070422536
27143,Sibley County,Minnesota,0.09113453192808431,0.014024152707440592,0.19120135363790186
27145,Stearns County,Minnesota,0.08028281096963762,0.018743164590378256,0.3146451884607286
27147,Steele County,Minnesota,0.048011236672412694,0.021452056271222982,0.3324569091440257
27149,Stevens County,Minnesota,0.10742233815508656,0.028536977491961414,0.20100083402835697
27151,Swift County,Minnesota,0.10357294768183752,0.01858736059479554,0.2863359442993908
27153,Todd County,Minnesota,0.25054704595185995,0.05549368968077208,0.21948212083847102
27155,Traverse County,Minnesota,0.25210084033613445,0.01740211311373524,0.14625850340136054
27157,Wabasha County,Minnesota,0.10981009544425858,0.013140009062075216,0.1995249406175772
27159,Wadena County,Minnesota,0.1945165945165945,0.015843586718354962,0.20367847411444143
27161,Waseca County,Minnesota,0.04669703872437358,0.011737337422015439,0.2801867911941294
27163,Washington County,Minnesota,0.04047350400747023,0.013057599742505597,0.3125383285945253
27165,Watonwan County,Minnesota,0.12851897184822522,0.018916256157635467,0.19586507072905332
27167,Wilkin County,Minnesota,0.10457734714333444,0.00520494469746259,0.25257731958762886
27169,Winona County,Minnesota,0.07027601830875214,0.03349171398771584,0.31803332244364585
27171,Wright County,Minnesota,0.06612690572134222,0.007641344551477462,0.23097666783913706
27173,Yellow Medicine County,Minnesota,0.13536638876700308,0.016069489685124866,0.13117283950617284
